"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
160,65,95,80,5,0,41,16,177,"cluster_3"
92,70,81,63,4,0,8,4,178,"cluster_3"
170,56,53,64,11,0,45,6,179,"cluster_1"
96,67,51,64,28,2,18,9,180,"cluster_0"
120,67,51,64,28,2,18,9,181,"cluster_0"
98,70,37,54,6,0,9,8,182,"cluster_0"
92,53,12,34,1,0,12,4,183,"cluster_0"
150,34,24,56,4,0,11,3,184,"cluster_1"
94,37,17,47,2,46,11,3,185,"cluster_0"
90,74,36,63,26,0,27,5,186,"cluster_0"
160,54,54,55,67,0,42,11,187,"cluster_1"
120,70,59,75,24,0,9,4,188,"cluster_3"
109,63,46,85,1,0,9,5,189,"cluster_0"
129,57,41,66,63,0,12,5,190,"cluster_2"
157,54,75,60,30,0,7,5,191,"cluster_1"
130,67,51,64,28,2,18,9,192,"cluster_1"
107,65,19,72,10,0,13,25,193,"cluster_0"
146,50,67,89,0,0,19,8,194,"cluster_1"
139,48,37,41,32,0,10,10,195,"cluster_1"
116,74,76,70,7,0,13,3,196,"cluster_3"
95,67,51,64,28,2,18,9,197,"cluster_0"
170,67,51,64,28,2,18,9,198,"cluster_1"
134,67,51,64,28,2,18,9,199,"cluster_1"
84,67,51,64,28,2,18,9,200,"cluster_0"
146,61,20,48,21,0,12,6,201,"cluster_1"
74,67,51,64,28,2,18,9,202,"cluster_0"
144,75,35,48,84,0,10,12,203,"cluster_2"
136,77,79,73,15,0,27,10,204,"cluster_3"
100,56,53,55,53,0,12,4,205,"cluster_2"
105,89,67,78,9,0,7,33,206,"cluster_3"
106,67,24,78,15,0,30,4,207,"cluster_0"
132,85,53,68,40,0,9,4,208,"cluster_3"
120,78,5,30,21,0,13,5,209,"cluster_0"
155,67,51,64,28,2,18,9,210,"cluster_1"
129,67,51,64,28,2,18,9,211,"cluster_1"
135,80,85,74,62,0,8,9,212,"cluster_3"
98,67,51,64,28,2,18,9,213,"cluster_0"
124,84,64,39,3,0,11,4,214,"cluster_3"
135,77,28,55,18,0,22,15,215,"cluster_1"
107,78,39,53,30,0,11,6,216,"cluster_0"
96,54,25,74,14,0,9,11,217,"cluster_0"
123,67,51,64,28,2,18,9,218,"cluster_0"
90,67,51,64,28,2,18,9,219,"cluster_0"
117,72,45,59,14,0,20,21,220,"cluster_0"
133,78,90,84,31,0,7,4,221,"cluster_3"
96,67,51,64,28,2,18,9,222,"cluster_0"
149,67,51,64,28,2,18,9,223,"cluster_1"
110,67,51,64,28,2,18,9,224,"cluster_0"
105,67,51,64,28,2,18,9,225,"cluster_0"
105,67,51,64,28,2,18,9,226,"cluster_0"
134,76,61,58,6,0,16,3,227,"cluster_3"
170,71,59,56,4,0,27,12,228,"cluster_1"
81,67,51,64,28,2,18,9,229,"cluster_0"
154,67,51,64,28,2,18,9,230,"cluster_1"
